,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
193,Drew Eubanks,2020-21,23,SAS,NBA,2.3,54,3,755,17.9,0.01,0.517,10.2,24,17,7.9,1.2,5.5,15.2,17.1,118,109,1.2,1.1,0.145,-1.1,1.2,0,0.4,5.6,9.9,5.5,9.8,0.1,0.1,3.7,5.1,3.6,8.1,11.6,2,0.9,2.4,2.2,4.2,15,0.566,0.562,1,0.571,0.726,0.618
194,Garrison Mathews,2020-21,24,WAS,NBA,2.3,64,24,1038,9.7,0.835,0.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,130,116,1.7,0.6,0.108,-1.7,-0.6,-2.3,-0.1,3.2,7.9,0.7,1.3,2.5,6.6,2.8,3.2,0.5,2.4,2.9,0.9,1,0.2,0.3,3.5,11.8,0.409,0.538,0.384,0.57,0.884,0.635
195,Will Barton,2020-21,30,DEN,NBA,2.2,56,52,1736,11.8,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19,107,114,0.7,1.5,0.061,-0.8,-1.2,-2,0,5.5,13,3.4,7.5,2.1,5.5,2,2.6,0.8,4,4.8,3.9,1.1,0.5,2.1,2,15.2,0.426,0.459,0.381,0.507,0.785,0.538
196,Torrey Craig,2020-21,30,TOT,NBA,2.2,50,8,803,14.2,0.467,0.097,8.1,19.1,13.7,7.9,1.7,2.9,9.6,14.3,120,109,1.1,1.1,0.133,-0.3,0.7,0.3,0.5,5,10.3,3.2,5.5,1.8,4.8,0.8,1,2.6,6.4,9,2.2,1.3,1.2,1.1,3.8,12.5,0.48,0.579,0.368,0.566,0.773,0.579
197,Buddy Hield,2020-21,28,SAC,NBA,2.2,71,71,2433,12.8,0.727,0.105,1.3,14.1,7.6,14.7,1.2,1,11.1,20.7,109,119,1.5,0.7,0.044,0.8,-1.6,-0.8,0.7,6,14.7,1.8,4,4.2,10.7,1.3,1.5,0.4,4.5,4.9,3.8,0.9,0.4,1.9,2.6,17.4,0.406,0.446,0.391,0.548,0.846,0.567
198,Kenyon Martin,2020-21,20,HOU,NBA,2.2,45,8,1068,14.6,0.302,0.264,7,17.6,12.1,6.8,1.3,3.4,9.7,15.6,117,114,1.3,0.9,0.099,-1.5,-0.4,-1.8,0,5.4,10.6,4.2,7.4,1.2,3.2,2,2.8,2.4,5.6,8,1.6,1,1.4,1.3,3,13.9,0.509,0.572,0.365,0.564,0.714,0.59
199,De'Anthony Melton,2020-21,22,MEM,NBA,2.2,52,1,1045,15.2,0.537,0.13,3,13.4,8.2,17.5,2.7,2.7,13.7,19.5,110,109,0.7,1.5,0.103,0.6,1.4,2,1,5.9,13.5,2.9,6.2,3,7.2,1.4,1.8,1,4.5,5.5,4.5,2.1,1.1,2.3,2.9,16.2,0.438,0.467,0.412,0.548,0.804,0.568
200,Patty Mills,2020-21,32,SAS,NBA,2.2,68,1,1685,11.8,0.702,0.128,1.1,6.3,3.7,13.5,1.2,0.2,9.3,18.4,111,117,1.3,0.8,0.062,0.1,-1.8,-1.6,0.2,5.4,13.2,2,3.9,3.5,9.3,1.5,1.7,0.4,2.1,2.5,3.5,0.9,0.1,1.4,1.7,15.9,0.412,0.5,0.375,0.544,0.91,0.57
201,Kelly Oubre,2020-21,25,GSW,NBA,2.2,55,50,1687,13.3,0.394,0.244,5.2,15.4,10.4,6.5,1.6,2.2,8,22.1,103,110,0,2.2,0.062,-1.5,-0.6,-2.1,-0.1,6.6,15.1,4.8,9.2,1.9,6,2.6,3.7,1.7,5.2,6.9,1.5,1.2,0.9,1.5,2.5,17.7,0.439,0.519,0.316,0.501,0.695,0.529
202,D.J. Augustin,2020-21,33,TOT,NBA,2.1,57,12,1129,12.1,0.633,0.274,1.9,7,4.4,22.2,1.2,0.1,14.5,16.8,117,117,1.5,0.5,0.088,-0.5,-1.6,-2.1,0,4.2,10.7,1.6,3.9,2.6,6.8,2.7,2.9,0.6,2.3,2.9,5.9,0.9,0,2,1.8,13.7,0.394,0.413,0.382,0.515,0.904,0.57
203,Patrick Beverley,2020-21,32,LAC,NBA,2.1,37,34,832,12,0.641,0.205,4,11.8,8,12,1.7,3,12.4,14.6,118,110,1,1,0.119,-0.7,0.7,0,0.4,4.2,9.8,1.7,3.5,2.5,6.3,1.6,2,1.3,4,5.3,3.4,1.3,1.2,1.5,4.8,12.4,0.423,0.468,0.397,0.55,0.8,0.58
204,Gorgui Dieng,2020-21,31,TOT,NBA,2.1,38,1,552,19.2,0.429,0.411,7.6,19.5,13.5,12,2.3,2.6,14.3,17.4,127,109,1.3,0.8,0.185,1.6,1.3,3,0.7,5.5,10.6,3.6,6.1,2,4.6,3.8,4.4,2.6,6.5,9.1,3.1,1.7,1,2.1,3.7,16.8,0.521,0.591,0.429,0.613,0.866,0.67
205,Rui Hachimura,2020-21,22,WAS,NBA,2.1,57,57,1797,11.4,0.211,0.248,2.9,15.5,9.2,6.3,1.1,0.3,8.6,18.1,107,115,0.7,1.4,0.056,-2,-1.4,-3.5,-0.7,6,12.5,5.1,9.8,0.9,2.6,2.4,3.1,0.9,5.1,6,1.6,0.8,0.1,1.3,2.3,15.2,0.478,0.519,0.328,0.513,0.77,0.549
206,Talen Horton-Tucker,2020-21,20,LAL,NBA,2.1,65,4,1304,12.9,0.268,0.264,2.2,12.3,7.3,20.8,2.4,1.4,16.1,21.7,103,107,-0.1,2.2,0.078,-2.5,1.3,-1.2,0.3,6.3,13.7,5.2,10,1,3.7,2.8,3.6,0.7,4,4.7,5.1,1.8,0.6,2.9,3.6,16.4,0.458,0.522,0.282,0.496,0.775,0.536
207,Cory Joseph,2020-21,29,TOT,NBA,2.1,63,13,1446,12.5,0.31,0.207,2.7,9.7,6.1,21.4,2,1.1,14.5,16.3,112,116,1.3,0.8,0.069,-1.9,-0.3,-2.1,-0.1,5,10.7,3.9,7.4,1.1,3.3,1.8,2.2,0.9,3.1,4,5.3,1.5,0.5,2,3.5,13,0.469,0.527,0.341,0.522,0.818,0.556
208,Jeremy Lamb,2020-21,28,IND,NBA,2.1,36,8,765,15.8,0.464,0.272,3.6,14.9,9.3,9.4,2.1,2.4,6.6,18.4,119,111,1.2,0.9,0.132,0.9,0.4,1.3,0.6,5.6,12.8,3.2,6.9,2.4,5.9,3.3,3.5,1.2,4.9,6.1,2.5,1.6,1.1,1,3.3,16.8,0.435,0.459,0.406,0.529,0.947,0.587
209,Andre Drummond,2020-21,27,TOT,NBA,2,46,46,1242,19.4,0.014,0.358,14.8,35.2,24.9,13.2,2.5,3.5,15.8,27.6,101,104,-0.6,2.5,0.077,-1.4,0.6,-0.9,0.3,8.4,16.9,8.4,16.7,0,0.2,3.6,6.1,4.9,11.4,16.3,2.8,1.9,1.5,3.7,4.4,20.3,0.493,0.5,0,0.493,0.6,0.519
210,James Ennis,2020-21,30,ORL,NBA,2,41,37,986,12.5,0.428,0.358,4.4,13.4,8.7,9.3,1.6,0.6,11.3,13.9,120,115,1.3,0.7,0.097,-1.9,-0.2,-2.1,0,4.3,9,2.6,5.1,1.7,3.8,2.6,3.2,1.6,4.6,6.1,2.3,1.2,0.3,1.3,3.1,12.8,0.473,0.504,0.433,0.566,0.805,0.613
211,Blake Griffin,2020-21,31,TOT,NBA,2,46,30,1186,12.9,0.499,0.285,3.4,17.4,10.5,17,1.3,1.1,11.8,19.3,110,114,0.9,1.1,0.081,-0.6,-0.4,-1,0.3,5.4,12.6,3.2,6.3,2.2,6.3,2.7,3.6,1.1,5.8,6.9,4.3,1,0.5,1.9,3.4,15.5,0.423,0.505,0.341,0.509,0.744,0.546
212,Frank Kaminsky,2020-21,27,PHO,NBA,2,47,13,715,15.8,0.331,0.233,5.8,23.7,14.9,15.3,1,2.1,7.2,19,117,110,1.1,0.9,0.133,0.3,0.8,1.1,0.6,6.3,13.3,4.7,8.9,1.6,4.4,1.9,3.1,1.9,7.9,9.7,4.1,0.7,0.9,1.1,3.6,16.1,0.471,0.523,0.365,0.531,0.617,0.547
213,Furkan Korkmaz,2020-21,23,PHI,NBA,2,55,11,1062,12.8,0.634,0.193,1.8,9.8,5.9,11.1,2.2,0.8,9.1,20.5,108,109,0.6,1.5,0.092,-0.3,0.1,-0.3,0.5,5.8,14.4,2.4,5.3,3.4,9.2,2,2.8,0.6,3.3,3.8,2.8,1.7,0.3,1.6,2.2,17.1,0.401,0.445,0.375,0.52,0.732,0.544
214,Tony Snell,2020-21,29,ATL,NBA,2,47,23,992,9.5,0.637,0.064,2,10.2,6.2,7.9,0.6,1,10.7,8.6,135,117,1.6,0.5,0.099,-0.5,-0.4,-0.9,0.3,3.3,6.4,1,2.3,2.3,4.1,0.4,0.4,0.7,3.5,4.2,2.2,0.5,0.4,0.8,2.8,9.3,0.515,0.419,0.569,0.696,1,0.708
215,Dean Wade,2020-21,24,CLE,NBA,2,63,19,1212,11.3,0.685,0.125,3.4,16.8,9.9,8.9,1.4,1.5,8.4,12.9,116,115,1.1,0.9,0.08,-1,-0.2,-1.2,0.2,4.1,9.5,1.7,3,2.4,6.5,0.9,1.2,1.2,5.4,6.6,2.3,1.1,0.6,0.9,2.4,11.5,0.431,0.571,0.366,0.556,0.769,0.573
216,Nicolas Claxton,2020-21,21,BRK,NBA,1.9,32,1,594,16.9,0.034,0.441,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14,124,108,1,0.9,0.153,-0.8,1.1,0.3,0.3,5.5,8.8,5.4,8.5,0.1,0.3,1.9,3.9,2.6,7.5,10.1,1.7,1.4,2.4,1.1,4.1,12.9,0.621,0.636,0.2,0.624,0.484,0.612
217,Wayne Ellington,2020-21,33,DET,NBA,1.9,46,31,1012,12.2,0.814,0.104,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,118,117,1.3,0.5,0.088,1.3,-1.7,-0.4,0.4,5.4,12.3,1.2,2.3,4.2,10,1,1.3,0.4,2.7,3.1,2.4,0.7,0.3,1.2,2.1,16.1,0.441,0.524,0.422,0.612,0.8,0.625
218,Aaron Gordon,2020-21,25,TOT,NBA,1.9,50,50,1384,14.5,0.353,0.299,6,16.4,11.1,17.8,1.2,2.3,14.7,20.7,107,114,0.7,1.2,0.066,0.2,-0.2,0,0.7,6.1,13.3,4.6,8.6,1.6,4.7,2.6,4,2,5.5,7.5,4.3,0.9,0.9,2.6,2.4,16.4,0.463,0.533,0.335,0.522,0.651,0.547
219,Tyrese Maxey,2020-21,20,PHI,NBA,1.9,61,8,935,14.5,0.24,0.163,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23,110,111,0.8,1.1,0.099,-1.3,-0.6,-1.9,0,7.7,16.6,6.5,12.6,1.2,4,2.4,2.7,0.4,3.6,4,4.6,1,0.5,1.6,3.1,18.9,0.462,0.512,0.301,0.498,0.871,0.531
220,Onyeka Okongwu,2020-21,20,ATL,NBA,1.9,50,4,601,16.8,0.02,0.383,11.5,18,14.9,4.4,1.9,4.8,14.3,14.7,125,109,1.1,0.8,0.155,-2.2,0.9,-1.3,0.1,5.9,9.1,5.9,9,0,0.2,2.2,3.5,3.8,6.2,10,1.1,1.4,2,1.8,6.1,14,0.644,0.658,0,0.644,0.632,0.655
221,Jordan Poole,2020-21,21,GSW,NBA,1.9,51,7,988,15.1,0.582,0.251,1.6,8.2,5,15.4,1.2,0.8,8.8,25,111,114,1.1,0.9,0.094,0.8,-1.4,-0.6,0.4,7.3,16.9,3.9,7.1,3.5,9.8,3.7,4.2,0.5,2.7,3.3,3.5,0.9,0.3,1.8,3.1,21.8,0.432,0.545,0.351,0.535,0.882,0.581
222,Derrick White,2020-21,26,SAS,NBA,1.9,36,32,1064,15,0.536,0.252,1.3,9.6,5.4,17.4,1.2,2.9,8.2,22.4,111,114,1,0.9,0.085,1.1,0,1.1,0.8,6.4,15.5,3.5,7.2,2.9,8.3,3.3,3.9,0.4,3.2,3.7,4.3,0.9,1.2,1.5,3.1,18.9,0.411,0.486,0.346,0.503,0.851,0.55
223,Mohamed Bamba,2020-21,22,ORL,NBA,1.8,46,5,725,19.3,0.392,0.219,10.5,28,19,8.1,0.9,7.3,9.8,21.8,111,109,0.7,1.1,0.117,0.1,-0.1,0,0.4,7.1,15.2,5.2,9.2,1.9,5.9,2.3,3.3,3.8,9.5,13.3,1.8,0.7,2.9,1.8,4.4,18.5,0.472,0.568,0.322,0.535,0.682,0.556
224,Kent Bazemore,2020-21,31,GSW,NBA,1.8,67,18,1333,10.6,0.469,0.199,2.1,16,9.1,11.1,2.4,2.2,16.1,16.3,101,108,-0.2,2.1,0.065,-2.9,1.3,-1.7,0.1,4.7,10.4,2.7,5.5,2,4.9,1.4,2.1,0.7,5.4,6.1,2.9,1.8,0.9,2.2,4.2,12.7,0.449,0.486,0.408,0.545,0.692,0.564
225,Oshae Brissett,2020-21,22,IND,NBA,1.8,21,16,519,17.2,0.517,0.43,6.1,17.9,12,4.6,1.7,3.1,5.3,15.6,129,111,1.2,0.6,0.165,0.9,-0.6,0.4,0.3,5,10.3,2.7,5,2.3,5.3,3.4,4.4,2,5.9,7.9,1.2,1.3,1.4,0.7,2.2,15.6,0.483,0.548,0.423,0.593,0.769,0.638
226,Sterling Brown,2020-21,25,HOU,NBA,1.8,51,14,1229,11.1,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,114,116,1,0.8,0.071,-1.7,0,-1.7,0.1,4.3,9.7,1.7,3.5,2.6,6.2,0.7,0.9,1.1,5.4,6.5,2.1,1.1,0.3,1.2,2.8,12,0.448,0.492,0.423,0.584,0.806,0.597
227,Larry Nance,2020-21,28,CLE,NBA,1.8,35,27,1091,13.2,0.419,0.18,5.4,19,12.1,14.4,2.8,1.4,15.8,13.9,109,111,0.5,1.3,0.08,-1.1,1.7,0.6,0.7,4.3,9.2,2.9,5.4,1.4,3.9,1,1.7,1.8,6.1,8,3.6,2.1,0.6,1.9,2.4,11.1,0.471,0.551,0.36,0.546,0.612,0.557
228,Landry Shamet,2020-21,23,BRK,NBA,1.8,61,12,1403,10.3,0.73,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,113,118,1.2,0.6,0.063,-1.1,-1.5,-2.5,-0.2,4.8,11.8,1.5,3.2,3.3,8.6,1.7,2,0.3,2.6,2.9,2.6,0.8,0.3,1.2,2.4,14.6,0.408,0.463,0.387,0.549,0.846,0.578
229,Anfernee Simons,2020-21,21,POR,NBA,1.8,64,0,1104,12.3,0.703,0.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,117,119,1.5,0.3,0.078,0.6,-1.8,-1.3,0.2,5.6,13.3,1.6,3.9,4,9.3,1.5,1.9,0.5,4.2,4.6,2.9,0.6,0.3,1.4,3.2,16.6,0.419,0.403,0.426,0.569,0.807,0.589
230,Rudy Gay,2020-21,34,SAS,NBA,1.7,63,1,1358,14.7,0.443,0.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,103,111,0,1.7,0.059,-0.1,-0.2,-0.3,0.6,7.1,16.8,4.2,9.4,2.8,7.5,2.2,2.7,1.1,7,8.1,2.4,1.2,1.1,1.7,3.1,19.2,0.42,0.451,0.381,0.505,0.804,0.532
231,Tyler Herro,2020-21,21,MIA,NBA,1.7,54,15,1635,13.3,0.425,0.167,1.8,16.7,9.4,18,1.1,1.1,11.9,23.5,104,113,0.1,1.6,0.049,-0.5,-1.1,-1.6,0.2,7,15.9,4.6,9.2,2.4,6.8,2.1,2.7,0.6,5.5,6.1,4.2,0.8,0.4,2.3,1.6,18.6,0.439,0.498,0.36,0.516,0.803,0.543
232,De'Andre Hunter,2020-21,23,ATL,NBA,1.7,23,19,678,15.7,0.383,0.343,2.8,14.7,8.9,9.7,1.4,1.6,9.2,20.2,119,114,1.2,0.6,0.123,0.8,-0.1,0.8,0.5,6.5,13.5,4.8,8.3,1.7,5.2,4,4.6,0.9,5.1,6,2.4,1,0.7,1.6,3.2,18.7,0.484,0.582,0.326,0.546,0.859,0.603
233,Andre Iguodala,2020-21,37,MIA,NBA,1.7,63,5,1339,9.2,0.734,0.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,103,110,-0.1,1.8,0.062,-2.5,1.8,-0.7,0.4,2.6,6.9,1,1.8,1.7,5.1,0.7,1.1,1.1,5.1,6.1,4,1.6,1,1.9,2.5,7.7,0.383,0.53,0.33,0.504,0.658,0.519
234,John Konchar,2020-21,24,MEM,NBA,1.7,43,0,575,14.8,0.406,0.217,6.4,17.3,11.8,10.7,2.5,1.4,10.6,12.4,125,109,0.9,0.8,0.145,-0.4,1.3,0.9,0.4,4.3,8.6,3,5.1,1.3,3.5,1.6,1.9,2.2,5.8,8,2.9,1.9,0.6,1.1,2.5,11.5,0.5,0.585,0.375,0.576,0.833,0.608
235,Wesley Matthews,2020-21,34,LAL,NBA,1.7,58,10,1130,7.2,0.782,0.163,2,7.2,4.6,6.3,1.6,1.3,8.8,11.4,106,110,0.2,1.5,0.073,-3.1,0.6,-2.4,-0.1,2.9,8.1,0.7,1.8,2.1,6.4,1.1,1.3,0.6,2.4,3,1.7,1.2,0.5,0.8,2.6,9,0.353,0.418,0.335,0.484,0.854,0.517
236,Dario Šarić,2020-21,26,PHO,NBA,1.7,50,4,871,14.3,0.395,0.289,6.1,18.4,12.4,10.4,1.7,0.4,12.9,22.6,109,111,0.7,1,0.093,-1.4,-0.8,-2.2,0,6.5,14.5,4.5,8.8,2,5.7,3.6,4.2,2,6.1,8.1,2.8,1.3,0.2,2.4,4,18.6,0.447,0.512,0.348,0.516,0.848,0.567
237,Gary Trent,2020-21,22,TOT,NBA,1.7,58,38,1802,12.1,0.546,0.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,108,118,1,0.7,0.045,-0.6,-2.1,-2.7,-0.3,6.5,15.9,3.1,7.2,3.3,8.7,1.7,2.1,0.5,2.5,3.1,1.6,1.1,0.2,0.9,1.9,18,0.408,0.435,0.385,0.513,0.783,0.534
238,Lou Williams,2020-21,34,TOT,NBA,1.7,66,4,1423,14,0.268,0.268,1.7,8.9,5.4,23.4,1.6,0.4,13,25.7,106,114,0.5,1.2,0.056,-1.1,-1.8,-2.9,-0.3,6.9,16.8,5.1,12.3,1.8,4.5,3.9,4.5,0.5,3,3.6,5.9,1.2,0.2,2.8,1.6,19.5,0.41,0.414,0.399,0.464,0.867,0.519
239,Trevor Ariza,2020-21,35,MIA,NBA,1.6,30,27,841,11.9,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,111,111,0.5,1,0.091,-1.5,0.2,-1.3,0.2,4.4,10.7,2.2,4.3,2.2,6.3,1.5,1.9,1.2,5.2,6.4,2.4,1.4,0.8,0.9,2.4,12.5,0.411,0.5,0.35,0.515,0.773,0.542
240,Jevon Carter,2020-21,25,PHO,NBA,1.6,60,1,717,12.2,0.677,0.031,2.6,11.8,7.3,13,2,1.1,6.6,15,115,111,0.7,0.8,0.104,-0.6,1.1,0.5,0.5,4.9,11.5,2,3.7,2.9,7.8,0.2,0.4,0.8,3.9,4.8,3.7,1.5,0.5,0.8,2.9,12.8,0.422,0.528,0.371,0.547,0.571,0.548
241,Hamidou Diallo,2020-21,22,TOT,NBA,1.6,52,9,1226,14.3,0.174,0.426,5.1,18.8,11.9,13.3,1.6,1.7,12,22.2,106,112,0.3,1.3,0.063,-2.2,-0.1,-2.3,-0.1,6.6,13.8,5.8,11.4,0.8,2.4,3.8,5.9,1.7,6.3,8,3,1.2,0.7,2.2,3.9,17.8,0.477,0.505,0.341,0.506,0.64,0.541
242,Isaiah Hartenstein,2020-21,22,TOT,NBA,1.6,46,2,559,17.9,0.035,0.415,13,23.7,18.2,15.3,1.7,6.5,17.9,19.2,114,108,0.7,0.9,0.134,-2.5,1.1,-1.4,0.1,6.2,11.3,6.1,10.9,0.1,0.4,3,4.7,4.3,7.7,12,3.6,1.3,2.6,2.9,6.9,15.6,0.55,0.558,0.333,0.556,0.648,0.583
243,Al Horford,2020-21,34,OKC,NBA,1.6,28,28,782,17.4,0.422,0.061,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,111,112,0.8,0.9,0.101,1.9,1.4,3.3,1,7.4,16.4,4.8,9.5,2.6,6.9,0.8,1,1.3,7.2,8.6,4.3,1.1,1.2,1.3,2.2,18.1,0.45,0.51,0.368,0.528,0.818,0.538
244,Damian Jones,2020-21,25,TOT,NBA,1.6,39,10,547,14.6,0.049,0.563,7.3,17.4,12.3,7,1,4.6,16.8,12.3,129,113,1,0.5,0.138,-2.2,0.9,-1.4,0.1,4.6,6.8,4.6,6.5,0.1,0.3,2.8,3.8,2.4,5.6,8,1.9,0.7,1.9,1.7,5.1,12.1,0.68,0.704,0.2,0.684,0.724,0.712
245,Markieff Morris,2020-21,31,LAL,NBA,1.6,61,27,1200,9.3,0.553,0.132,4.5,20.3,12.5,8.6,0.9,1.4,11.9,16.4,101,108,-0.2,1.8,0.062,-2.8,-0.2,-3,-0.3,4.7,11.5,2.7,5.1,2,6.4,1.1,1.5,1.5,6.6,8.1,2.2,0.7,0.6,1.6,3.2,12.4,0.405,0.521,0.311,0.491,0.72,0.509
246,D'Angelo Russell,2020-21,24,MIN,NBA,1.6,42,26,1196,17.6,0.475,0.229,1.4,8.9,5,33.6,1.8,1.3,13.5,29.1,108,117,1,0.6,0.063,3,-1.9,1.1,1,8.3,19.3,4.8,10.1,3.6,9.2,3.4,4.4,0.5,2.8,3.3,7.2,1.3,0.5,3.3,2,23.6,0.431,0.471,0.387,0.523,0.765,0.555
247,Jeff Teague,2020-21,32,TOT,NBA,1.6,55,7,950,12.3,0.289,0.37,1.7,8.3,5.1,18.3,1.7,1.2,16.2,17.7,111,114,0.8,0.8,0.079,-1.7,-0.4,-2.1,0,4.7,10.8,3.3,7.7,1.4,3.1,3.4,4,0.6,2.8,3.3,5,1.3,0.5,2.4,2.1,14.1,0.433,0.431,0.439,0.496,0.848,0.562
248,Garrett Temple,2020-21,34,CHI,NBA,1.6,56,25,1528,8.2,0.525,0.131,2.1,9.4,5.8,10.5,1.4,1.7,12.6,13.1,105,113,0.2,1.4,0.05,-3.3,-0.1,-3.5,-0.6,3.8,9.1,2.2,4.3,1.6,4.8,1,1.2,0.7,3.1,3.8,3,1,0.7,1.4,3,10.1,0.415,0.503,0.335,0.503,0.8,0.525
249,Goga Bitadze,2020-21,21,IND,NBA,1.5,45,3,561,16.3,0.407,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,116,109,0.7,0.8,0.129,-1.9,0.8,-1.2,0.1,5.2,12.3,4,7.3,1.3,5,2.8,3.9,3.8,5.7,9.5,2.3,0.6,3.8,1.1,5.9,14.6,0.428,0.548,0.253,0.479,0.738,0.523
250,Saben Lee,2020-21,21,DET,NBA,1.5,48,7,781,13.8,0.11,0.424,2.8,11.1,6.9,33.2,2,1.5,18.1,17,112,113,0.7,0.8,0.091,-2.2,0.3,-1.9,0,4.7,9.9,4.3,8.8,0.4,1.1,2.9,4.2,0.9,3.6,4.6,8.2,1.5,0.6,2.6,3.6,12.6,0.471,0.487,0.348,0.49,0.685,0.536
251,Obi Toppin,2020-21,22,NYK,NBA,1.5,62,0,683,12.7,0.407,0.124,4.2,17.6,11,6.4,1.2,2.1,9.4,15.9,112,108,0.5,1,0.109,-1.5,0.5,-1,0.2,5.7,11.5,4.3,6.8,1.4,4.7,1,1.4,1.4,6.2,7.6,1.6,0.9,0.8,1.3,3,13.9,0.498,0.629,0.306,0.56,0.731,0.574
252,Devin Vassell,2020-21,20,SAS,NBA,1.5,62,7,1056,10.6,0.495,0.168,2.4,15.4,8.8,7.1,2,1.4,6.3,14.3,108,112,0.4,1.1,0.069,-2.5,0.6,-1.9,0.1,4.2,10.4,2.4,5.3,1.8,5.2,1.5,1.8,0.8,5.2,6,1.9,1.5,0.6,0.8,3,11.8,0.406,0.464,0.347,0.492,0.843,0.524
253,Yuta Watanabe,2020-21,26,TOR,NBA,1.5,50,4,723,12.2,0.5,0.161,5.3,19.4,12.1,7.7,1.7,2.6,9,12.7,117,111,0.7,0.8,0.102,-1.1,0.4,-0.7,0.2,4,9,2.2,4.5,1.8,4.5,1.2,1.5,1.8,6.2,8,2,1.3,1,1,2.9,10.9,0.439,0.478,0.4,0.539,0.828,0.565
254,Marvin Bagley,2020-21,21,SAC,NBA,1.4,43,42,1112,16.3,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,109,117,0.9,0.5,0.059,-0.6,-2.8,-3.4,-0.4,8,15.9,6.8,12.4,1.2,3.5,2.5,4.3,3.4,6.9,10.3,1.4,0.7,0.7,1.9,3.2,19.7,0.504,0.55,0.343,0.542,0.575,0.554
255,Dillon Brooks,2020-21,25,MEM,NBA,1.4,67,67,1997,12.1,0.361,0.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,102,113,-0.5,1.8,0.033,-2.6,-1.3,-3.9,-1,7.8,18.5,5.5,11.8,2.3,6.7,2.9,3.5,1,2.6,3.5,2.8,1.4,0.5,2.1,4.3,20.7,0.419,0.461,0.344,0.481,0.815,0.515
256,Trey Burke,2020-21,28,DAL,NBA,1.4,62,1,911,12.6,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8,20,110,115,0.7,0.7,0.071,-1.3,-0.7,-2,0,6.1,14.3,3.8,7.7,2.4,6.7,2.1,2.3,0.4,1.8,2.2,3.3,1.5,0.3,1.3,2.6,16.7,0.428,0.492,0.354,0.51,0.895,0.544
257,George Hill,2020-21,34,TOT,NBA,1.4,30,17,672,13.1,0.406,0.254,2.6,7.2,4.9,16,1.6,0.7,12.4,15.9,117,114,0.9,0.6,0.1,-0.9,-0.5,-1.4,0.1,5.1,10.5,3.4,6.2,1.7,4.3,2.1,2.7,0.9,2.4,3.3,3.9,1.2,0.3,1.7,1.7,13.9,0.482,0.547,0.388,0.561,0.8,0.596
258,Jaden McDaniels,2020-21,20,MIN,NBA,1.4,63,27,1511,8.9,0.54,0.123,3.6,13.4,8.3,6.4,1.1,3.4,10.8,12,108,116,0.5,0.9,0.046,-3.4,-0.3,-3.8,-0.7,3.8,8.6,2.2,4,1.7,4.6,0.6,1.1,1.2,4.2,5.4,1.7,0.8,1.4,1.1,4,10,0.447,0.544,0.364,0.545,0.6,0.552
259,Edmond Sumner,2020-21,25,IND,NBA,1.4,53,24,861,12.7,0.312,0.294,2.3,9.5,5.9,7.9,1.8,0.9,13.8,18.3,112,115,0.7,0.7,0.077,-2.3,-0.6,-2.9,-0.2,6.1,11.6,4.7,8,1.4,3.6,2.8,3.4,0.7,3.1,3.9,2,1.4,0.4,2.1,3.6,16.4,0.525,0.582,0.398,0.587,0.819,0.626
260,Precious Achiuwa,2020-21,21,MIA,NBA,1.3,61,4,737,14.2,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4,13.5,19.5,107,109,0.3,1,0.085,-3.5,-0.9,-4.5,-0.5,6.3,11.5,6.3,11.5,0,0.1,2.8,5.6,3.7,6.8,10.5,1.5,1,1.4,2.2,4.6,15.4,0.544,0.546,0,0.544,0.509,0.55
