,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
37,Mike Conley,2020-21,33,UTA,NBA,6.1,51,51,1498,19.2,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,123,109,4,2.1,0.197,3.5,0.9,4.4,2.4,6.9,15.6,3.6,7.4,3.4,8.2,3,3.5,0.9,3.4,4.3,7.4,1.7,0.2,2.4,2.4,20.2,0.444,0.479,0.412,0.552,0.852,0.589
38,Richaun Holmes,2020-21,27,SAC,NBA,6.1,61,61,1782,20.2,0.019,0.296,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,130,115,4.7,1.4,0.165,0.6,-0.3,0.3,1,7.4,11.6,7.4,11.4,0,0.2,2.7,3.4,2.9,7.3,10.2,2,0.8,1.9,1.5,4.3,17.6,0.637,0.645,0.182,0.638,0.794,0.669
39,Ben Simmons,2020-21,24,PHI,NBA,6,58,58,1877,18.3,0.017,0.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,114,106,2.7,3.3,0.153,0.8,1.9,2.7,2.2,6.3,11.2,6.2,11,0.1,0.2,3.4,5.5,1.8,6.2,8,7.7,1.8,0.7,3.3,3.3,16,0.557,0.562,0.3,0.56,0.613,0.584
40,Bradley Beal,2020-21,27,WAS,NBA,5.9,60,60,2147,22.7,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,114,115,4.2,1.7,0.132,4.9,-1.7,3.2,2.8,10.8,22.3,8.7,16.3,2.1,6,6.6,7.4,1.2,3.4,4.6,4.3,1.1,0.4,3,2.3,30.2,0.485,0.535,0.349,0.532,0.889,0.593
41,Zach LaVine,2020-21,25,CHI,NBA,5.9,58,58,2034,21.5,0.425,0.265,2,13.6,7.9,23.4,1.1,1.2,13.9,31,115,114,4,1.8,0.138,4.8,-1.1,3.7,2.9,10.2,20.1,6.6,11.5,3.6,8.5,4.5,5.3,0.6,4.5,5.2,5,0.8,0.5,3.6,2.5,28.4,0.507,0.571,0.419,0.596,0.849,0.634
42,Jakob Poeltl,2020-21,25,SAS,NBA,5.7,69,51,1845,17.5,0,0.288,12.4,19.3,15.8,10.1,1.2,5.7,14.6,13.4,123,109,3.2,2.5,0.148,-0.4,1.1,0.7,1.2,5.2,8.5,5.2,8.5,0,0,1.2,2.4,4.3,6.5,10.8,2.6,0.9,2.4,1.6,3.4,11.7,0.616,0.616,,0.616,0.508,0.612
43,Kyle Anderson,2020-21,27,MEM,NBA,5.6,69,69,1887,17.2,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,118,109,2.9,2.7,0.143,1.4,1.7,3.1,2.4,5.9,12.5,4.1,7.5,1.8,5,2.7,3.5,1,6.5,7.5,4.8,1.6,1.1,1.6,2.3,16.2,0.468,0.539,0.36,0.54,0.783,0.578
44,LeBron James,2020-21,36,LAL,NBA,5.6,45,45,1504,24.2,0.346,0.31,2.2,23.6,12.9,41.8,1.6,1.5,15.2,31.9,114,106,3,2.6,0.179,5.9,1.6,7.5,3.6,10.2,20,7.7,13.1,2.5,6.9,4.3,6.2,0.7,7.7,8.4,8.5,1.2,0.6,4.1,1.7,27.3,0.513,0.591,0.365,0.576,0.698,0.602
45,Royce O'Neale,2020-21,27,UTA,NBA,5.6,71,71,2241,9.9,0.706,0.117,4.4,18,11.5,10.4,1.2,1.2,16.7,9.6,121,108,2.3,3.3,0.121,-1.3,1.7,0.4,1.4,2.9,6.4,1.1,1.9,1.7,4.5,0.6,0.7,1.4,6.5,7.9,3,0.9,0.5,1.4,3,8.1,0.444,0.586,0.385,0.58,0.848,0.599
46,Karl-Anthony Towns,2020-21,25,MIN,NBA,5.4,50,50,1689,23.1,0.36,0.355,8.2,26.4,17,22.6,1.1,2.9,13.7,29.1,117,113,3.8,1.6,0.153,4,0.2,4.3,2.7,8.9,18.4,6.4,11.7,2.6,6.6,5.6,6.5,2.8,8.3,11.1,4.7,0.8,1.2,3.4,3.9,26,0.486,0.541,0.387,0.555,0.859,0.612
