"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"JaKarr Sampson","DEN",73,1160,46,115,23,23,14,5,4,6,17
"Mike Scott","ATL",75,1146,78,183,51,27,38,4,9,10,17
"Manu Ginobili","SAS",58,1134,177,396,135,42,76,27,32,14,28
"Archie Goodwin","PHX",57,1114,118,277,77,41,39,16,22,12,29
"Marcus Thornton","WAS",61,1108,84,192,60,24,53,6,1,9,15
"Aaron Brooks","CHI",69,1108,180,429,111,69,55,21,35,19,50
"Josh Richardson","MIA",52,1107,73,166,53,20,22,12,19,7,13
"Bobby Portis","CHI",62,1102,52,128,28,24,16,3,9,3,21
"Al Jefferson","CHA",47,1097,70,164,46,24,30,1,15,2,22
"Kevin Martin","SAS",55,1095,58,133,41,17,15,11,15,3,14
"Nene","WAS",57,1094,97,214,77,20,50,11,16,10,10
"O.J. Mayo","MIL",41,1090,118,254,100,18,61,23,16,2,16
"Leandro Barbosa","GSW",68,1079,82,191,55,27,35,7,13,10,17
"Nemanja Bjelica","MIN",60,1075,82,182,64,18,40,10,14,7,11
"TJ Warren","PHX",47,1070,44,105,27,17,11,6,10,3,14
"Eric Bledsoe","PHX",31,1059,190,447,123,67,80,14,29,19,48
"Shelvin Mack","UTA",52,1058,187,432,129,58,75,28,26,24,34
"Brandon Rush","GSW",72,1055,57,137,34,23,17,12,5,8,15
"Terrence Jones","HOU",50,1044,41,104,19,22,17,1,1,7,15
"Joffrey Lauvergne","DEN",59,1041,56,134,34,22,23,3,8,4,18
"Jameer Nelson","DEN",39,1036,190,437,133,57,68,29,36,16,41
"Spencer Hawes","CHA",57,1035,109,253,74,35,44,7,23,8,27
"Nick Young","LAL",54,1033,34,78,24,10,16,2,6,1,9
"Jarrett Jack","BKN",32,1027,236,509,199,37,88,71,40,13,24
"Vince Carter","MEM",60,1005,56,127,41,15,23,9,9,7,8
"Rashad Vaughn","MIL",70,1001,39,86,31,8,18,5,8,3,5
"Dwight Powell","DAL",69,992,44,108,24,20,13,4,7,1,19
"Steve Blake","DET",58,986,200,477,123,77,74,30,19,24,53
"Markel Brown","BKN",62,982,91,202,71,20,45,11,15,7,13
"Kyle Singler","OKC",68,977,24,55,17,7,13,1,3,3,4
"John Henson","MIL",57,959,54,121,41,13,26,7,8,3,10
"Chase Budinger","PHX",66,930,64,144,48,16,32,6,10,3,13
"Anthony Morrow","OKC",68,926,24,57,15,9,13,0,2,3,6
"James Johnson","TOR",57,926,67,156,45,22,32,7,6,12,10
"Thomas Robinson","BKN",71,916,46,102,36,10,25,5,6,4,6
"Sasha Vujacic","NYK",61,908,84,196,56,28,23,12,21,12,16
"David Lee","DAL",55,903,84,203,49,35,23,7,19,15,20
"Josh Smith","HOU",55,880,90,208,62,28,43,9,10,18,10
"Quincy Acy","SAC",59,876,27,62,19,8,9,4,6,3,5
"Miles Plumlee","MIL",61,870,16,34,14,2,4,4,6,1,1
"Marcelo Huertas","LAL",53,869,182,415,131,51,87,20,24,14,37
"Brandon Jennings","ORL",48,868,170,392,118,52,68,18,32,14,38
"Solomon Hill","IND",59,866,57,130,41,16,23,6,12,8,8
"Tim Hardaway Jr.","ATL",51,864,51,121,32,19,17,4,11,5,14
"Tyler Johnson","MIA",36,863,79,182,55,24,26,12,17,10,14
"Alexis Ajinca","NOP",59,861,31,75,18,13,12,2,4,1,12
"Johnny O'Bryant III","MIL",66,857,32,73,23,9,10,6,7,2,7
"Chris Johnson","UTA",70,857,45,103,32,13,23,4,5,6,7
