Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Matt Mooney,22,CLE,NBA,2019-20,4,0,19,8.1,0.5,0,0,17.7,8.8,6.7,5.1,4.5,0,9,69,104,0,0,0,0.007,-5.4,5,-0.4,0,1,4,1,2,0,2,0,0,0,3,3,1,2,1,0,1,2
E'Twaun Moore,30,NOP,NBA,2019-20,56,6,1020,11.3,0.382,0.103,3.2,10.4,6.8,11,1.5,0.9,8.1,19.9,104,114,0.3,0.7,0.9,0.043,-1.9,-0.8,-2.7,-0.2,186,437,123,270,63,167,31,45,31,100,131,78,32,11,40,80,466
Ja Morant,20,MEM,NBA,2019-20,67,67,2074,17.4,0.191,0.329,2.6,10.4,6.6,35.2,1.3,0.8,17,25.9,109,113,2.3,1.5,3.8,0.088,1.5,-1.2,0.3,1.2,447,937,387,758,60,179,239,308,51,208,259,488,58,18,220,110,1193
Juwan Morgan,22,UTA,NBA,2019-20,21,0,134,10.1,0.308,0.154,8.5,15.1,11.9,6.2,0.4,1.2,17.8,11,121,112,0.2,0.1,0.3,0.106,-2.9,-0.3,-3.2,0,15,26,12,18,3,8,3,4,10,19,29,6,1,2,6,19,36
Marcus Morris,30,TOT,NBA,2019-20,62,62,1936,14.3,0.43,0.272,3.2,14,8.5,6.8,1.2,1.4,9.7,21.9,111,113,2.1,1.5,3.6,0.088,0.6,-0.7,-0.1,0.9,355,810,213,462,142,348,181,220,59,252,311,86,47,30,97,180,1033
Markieff Morris,30,TOT,NBA,2019-20,58,17,1187,12.5,0.498,0.186,3.8,17.1,10.3,10.1,1.3,1.2,13.3,20.9,105,112,0.5,1,1.4,0.058,-1.1,-0.9,-2,0,203,458,115,230,88,228,66,85,40,178,218,77,31,17,76,133,560
Monte Morris,24,DEN,NBA,2019-20,73,12,1636,14.9,0.304,0.157,1.6,7.7,4.7,22.1,1.7,1,8.1,17.5,118,114,2.7,1.1,3.8,0.112,0.4,-0.5,-0.2,0.8,260,566,195,394,65,172,75,89,24,113,137,255,55,17,53,73,660
Johnathan Motley,24,LAC,NBA,2019-20,13,0,41,28.5,0.067,0.467,7.8,17.3,12.7,32.9,3.5,0,21.7,23.5,132,104,0.2,0.1,0.3,0.299,4.8,3.3,8.1,0.1,11,15,10,14,1,1,5,7,3,7,10,8,3,0,5,6,28
Emmanuel Mudiay,23,UTA,NBA,2019-20,54,2,850,13,0.266,0.254,2.4,13.5,8.2,20.9,1.4,1,17.3,22.6,103,111,0.1,0.9,1,0.057,-1.8,-0.1,-1.9,0,151,327,121,240,30,87,63,83,18,108,126,116,24,10,76,72,395
Mychal Mulder,25,GSW,NBA,2019-20,7,3,204,7.8,0.776,0.179,1.5,11,6.1,5.8,0.5,0.4,6.5,16.2,104,118,0,0,0.1,0.017,-3.3,-2.8,-6.1,-0.2,26,67,10,15,16,52,9,12,3,20,23,8,2,1,5,20,77
Dejounte Murray,23,SAS,NBA,2019-20,66,58,1687,16.2,0.174,0.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,105,110,0.7,2,2.6,0.074,-0.9,1.3,0.4,1,294,637,253,526,41,111,91,114,69,314,383,271,111,17,125,143,720
Jamal Murray,22,DEN,NBA,2019-20,59,59,1904,17.7,0.362,0.207,2.7,11.2,6.9,22.9,1.7,0.8,11.5,25.2,112,113,2.8,1.5,4.3,0.107,2,-0.8,1.2,1.5,408,894,296,570,112,324,163,185,45,191,236,284,67,17,127,102,1091
Džanan Musa,20,BRK,NBA,2019-20,40,0,487,9.4,0.453,0.349,4.6,13.5,9.1,12.6,1.5,0.2,15.4,20.1,96,111,-0.3,0.5,0.2,0.016,-3.5,-0.9,-4.4,-0.3,64,172,45,94,19,78,45,60,21,65,86,43,15,1,36,30,192
Mike Muscala,28,OKC,NBA,2019-20,47,2,572,12.5,0.757,0.116,3.2,17.3,10.4,10.1,0.8,1.8,7.9,16.6,114,110,0.7,0.6,1.3,0.107,0.1,-0.2,-0.1,0.3,77,189,23,46,54,143,18,22,16,92,108,40,9,12,17,58,226
Sviatoslav Mykhailiuk,22,DET,NBA,2019-20,56,27,1265,11.2,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,110,116,1,0.6,1.6,0.06,-0.7,-1.2,-1.9,0,166,405,51,120,115,285,57,70,17,87,104,106,41,4,61,87,504
